rating_loop.thisRepN,rating_loop.thisTrialN,rating_loop.thisN,rating_loop.thisIndex,thisRow.t,notes,WelcomeScreen.started,WelcomeScreen.stopped,trial.started,trial.stopped,sliderRating.response,slider_stop.response,temperature_PT,sliderRating.markerPos,GoodbyScreen.started,text.started,GoodbyScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
9,0,9,0,2024-09-18_16:56:29.034296,,,,20.994344300124794,22.930162199772894,None,None,35.1,65.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
10,0,10,0,2024-09-18_16:56:31.036744,,,,22.993662000168115,24.930822799913585,None,None,35.0,48.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
11,0,11,0,2024-09-18_16:56:33.035467,,,,24.99348759977147,26.92946540005505,None,None,35.0,1.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
12,0,12,0,2024-09-18_16:56:35.032470,,,,26.99300709972158,28.930593899916857,None,None,35.0,19.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
13,0,13,0,2024-09-18_16:56:37.038435,,,,28.993811400141567,30.93082130001858,None,None,35.0,71.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
14,0,14,0,2024-09-18_16:56:39.036297,,,,30.99503119988367,32.93129550013691,None,None,34.9,12.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
15,0,15,0,2024-09-18_16:56:41.036491,,,,32.99474669992924,34.930149800144136,None,None,34.9,0.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
16,0,16,0,2024-09-18_16:56:43.037837,,,,34.99422910017893,36.931399799883366,None,None,34.9,0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
17,0,17,0,2024-09-18_16:56:45.038623,,,,36.99531409982592,38.929804699961096,None,None,34.800000000000004,0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
18,0,18,0,2024-09-18_16:56:47.037678,,,,38.994144099764526,40.928975500166416,None,None,34.800000000000004,0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
