rating_loop.thisRepN,rating_loop.thisTrialN,rating_loop.thisN,rating_loop.thisIndex,thisRow.t,notes,WelcomeScreen.started,WelcomeScreen.stopped,trial.started,trial.stopped,sliderRating.response,slider_stop.response,temperature_PT,sliderRating.markerPos,GoodbyScreen.started,text.started,GoodbyScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
121,0,121,0,2024-09-17_16:41:00.718478,,,,248.11433849995956,250.0478357002139,None,None,21.6,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
122,0,122,0,2024-09-17_16:41:02.719481,,,,250.113751700148,252.04815899999812,None,None,21.5,10.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
123,0,123,0,2024-09-17_16:41:04.718604,,,,252.11414510011673,254.04671580018476,None,None,21.3,10.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
124,0,124,0,2024-09-17_16:41:06.709121,,,,254.11028459994122,256.0467298999429,None,None,21.200000000000003,10.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
125,0,125,0,2024-09-17_16:41:08.717805,,,,256.11138830007985,258.04843070032075,None,None,21.0,10.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
126,0,126,0,2024-09-17_16:41:10.718399,,,,258.1139012002386,260.04780190018937,None,None,20.900000000000002,10.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
127,0,127,0,2024-09-17_16:41:12.718158,,,,260.11303490027785,262.0471470002085,None,None,20.700000000000003,10.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
128,0,128,0,2024-09-17_16:41:14.716194,,,,262.11167080001906,264.0469402000308,None,None,20.6,10.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
129,0,129,0,2024-09-17_16:41:16.719578,,,,264.11319519998506,266.0477571003139,None,None,20.400000000000002,10.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
130,0,130,0,2024-09-17_16:41:18.713032,,,,266.11213289992884,268.04758980032057,None,None,20.3,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
131,0,131,0,2024-09-17_16:41:20.719763,,,,268.11345250019804,270.04607379995286,None,None,20.1,10.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
132,0,132,0,2024-09-17_16:41:22.711864,,,,270.1111216000281,272.04789930023253,None,None,20.0,10.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
133,0,133,0,2024-09-17_16:41:24.718491,,,,272.1133274999447,274.0462973001413,None,None,19.900000000000002,10.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
134,0,134,0,2024-09-17_16:41:26.713072,,,,274.1104461001232,276.0453416001983,None,None,19.700000000000003,10.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
135,0,135,0,2024-09-17_16:41:28.716137,,,,276.1115733003244,278.0476065003313,None,None,19.5,10.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
136,0,136,0,2024-09-17_16:41:30.717965,,,,278.1142112999223,280.0473168999888,None,None,19.400000000000002,13.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
137,0,137,0,2024-09-17_16:41:32.716049,,,,280.11228040000424,282.0472242003307,None,None,19.200000000000003,21.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
138,0,138,0,2024-09-17_16:41:34.713510,,,,282.11200590012595,284.0477112000808,None,None,19.1,29.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
